Fuel_Category,Zip Code,Count
Plug-In Hybrid,21231,32
Plug-In Hybrid,21234,57
Plug-In Hybrid,21236,37
Plug-In Hybrid,21237,24
Plug-In Hybrid,21239,6
Plug-In Hybrid,21244,26
Plug-In Hybrid,21286,54
Plug-In Hybrid,21401,88
Plug-In Hybrid,21402,1
Plug-In Hybrid,21403,110
Plug-In Hybrid,21405,4
Plug-In Hybrid,21409,49
Plug-In Hybrid,21502,24
Plug-In Hybrid,21520,1
Plug-In Hybrid,21529,1
Plug-In Hybrid,21532,6
Plug-In Hybrid,21541,2
Plug-In Hybrid,21543,1
Plug-In Hybrid,21550,1
Plug-In Hybrid,21561,1
Plug-In Hybrid,21601,54
Plug-In Hybrid,21612,1
Plug-In Hybrid,21613,15
Plug-In Hybrid,21617,16
Plug-In Hybrid,21619,8
Plug-In Hybrid,21620,32
Plug-In Hybrid,21622,1
Plug-In Hybrid,21623,3
Plug-In Hybrid,21624,1
Plug-In Hybrid,21625,5
Plug-In Hybrid,21629,4
Plug-In Hybrid,21631,1
Plug-In Hybrid,21632,1
Plug-In Hybrid,21635,4
Plug-In Hybrid,21638,9
Plug-In Hybrid,21643,2
Plug-In Hybrid,21649,2
Plug-In Hybrid,21651,1
Plug-In Hybrid,21654,5
Plug-In Hybrid,21655,4
Plug-In Hybrid,21657,3
Plug-In Hybrid,21658,7
Plug-In Hybrid,21659,1
Plug-In Hybrid,21660,5
Plug-In Hybrid,21661,2
Plug-In Hybrid,21662,2
Plug-In Hybrid,21663,9
Plug-In Hybrid,21666,22
Plug-In Hybrid,21667,1
Plug-In Hybrid,21668,1
Plug-In Hybrid,21671,2
Plug-In Hybrid,21673,5
Plug-In Hybrid,21676,1
Plug-In Hybrid,21701,118
Plug-In Hybrid,21702,89
Plug-In Hybrid,21703,73
Plug-In Hybrid,21704,81
Plug-In Hybrid,21710,12
Plug-In Hybrid,21711,2
Plug-In Hybrid,21713,10
Plug-In Hybrid,21714,1
Plug-In Hybrid,21716,20
Plug-In Hybrid,21717,1
Plug-In Hybrid,21719,2
Plug-In Hybrid,21722,7
Plug-In Hybrid,21723,3
Plug-In Hybrid,21727,3
Plug-In Hybrid,21733,1
Plug-In Hybrid,21734,1
Plug-In Hybrid,21737,19
Plug-In Hybrid,21738,14
Plug-In Hybrid,21740,59
Plug-In Hybrid,21742,48
Plug-In Hybrid,21750,2
Plug-In Hybrid,21754,34
Plug-In Hybrid,21755,7
Plug-In Hybrid,21756,9
Plug-In Hybrid,21757,3
Plug-In Hybrid,21758,8
Plug-In Hybrid,21762,3
Plug-In Hybrid,21766,1
Plug-In Hybrid,21769,41
Plug-In Hybrid,21770,22
Plug-In Hybrid,21771,81
Plug-In Hybrid,21773,12
Plug-In Hybrid,21774,62
Plug-In Hybrid,21776,9
Plug-In Hybrid,21777,8
Plug-In Hybrid,21778,2
Plug-In Hybrid,21779,2
Plug-In Hybrid,21780,1
Plug-In Hybrid,21782,5
Plug-In Hybrid,21783,10
Plug-In Hybrid,21784,66
Plug-In Hybrid,21787,7
Plug-In Hybrid,21788,10
Plug-In Hybrid,21790,1
Plug-In Hybrid,21791,9
Plug-In Hybrid,21793,16
Plug-In Hybrid,21794,7
Plug-In Hybrid,21795,6
Plug-In Hybrid,21797,28
Plug-In Hybrid,21798,1
Plug-In Hybrid,21801,38
Plug-In Hybrid,21804,24
Plug-In Hybrid,21811,33
Plug-In Hybrid,21813,6
Plug-In Hybrid,21814,2
Plug-In Hybrid,21817,1
Plug-In Hybrid,21821,1
Plug-In Hybrid,21822,4
Plug-In Hybrid,21826,1
Plug-In Hybrid,21830,5
Plug-In Hybrid,21838,1
Plug-In Hybrid,21840,1
Plug-In Hybrid,21842,19
Plug-In Hybrid,21849,1
Plug-In Hybrid,21850,1
Plug-In Hybrid,21851,3
Plug-In Hybrid,21853,2
Plug-In Hybrid,21863,5
Plug-In Hybrid,21865,1
Plug-In Hybrid,21871,2
Plug-In Hybrid,21875,4
Plug-In Hybrid,21901,20
Plug-In Hybrid,21903,1
Plug-In Hybrid,21904,5
Plug-In Hybrid,21911,4
Plug-In Hybrid,21912,1
Plug-In Hybrid,21913,1
Plug-In Hybrid,21914,1
Plug-In Hybrid,21915,7
Plug-In Hybrid,21917,2
Plug-In Hybrid,21918,2
Plug-In Hybrid,21919,4
Plug-In Hybrid,21921,32
